,tradeNum,total_return,winning_rate,max_drawdown,sharpe_ratio
53,94,0.3026294651855119,0.5851063829787234,-0.17119470253330357,0.3530309664530625
54,155,0.23380987737805248,0.6903225806451613,-0.3356765312537885,0.22316002795272719
55,409,0.04934876107727553,0.5525672371638142,-0.19332393908931406,0.07017102404178391
56,106,-0.2126232666948941,0.5849056603773585,-0.4109131712800258,-0.27995876291101784
57,250,0.25776450927650263,0.588,-0.1517879895699962,0.32159677724279245
58,133,0.026807047716541774,0.6165413533834586,-0.32727550600642985,0.030320074083922212
59,86,0.10312225210899083,0.6976744186046512,-0.3129701604471013,0.12863698904733298
60,160,0.2848238655172125,0.6625,-0.1394627806705326,0.37853395383202976
61,213,0.5669126967253549,0.6338028169014085,-0.3274574262289539,0.5963819146316416
62,394,0.3448206104335258,0.5710659898477157,-0.20198408845185933,0.3947876116406717
63,295,-0.375688426382949,0.6033898305084746,-0.5201538507975221,-0.4587454705912128
64,304,0.24710981862748987,0.5888157894736842,-0.5441334493619796,0.3059556561601721
65,164,0.1720889287433718,0.6280487804878049,-0.408637219581356,0.21207689738864363
66,98,-0.725230491747768,0.6836734693877551,-0.9664838535562611,-0.5708181674223795
67,337,0.2925135088378581,0.5845697329376854,-0.2599434986271078,0.3156794312105654
68,127,0.5116691270186015,0.6614173228346457,-0.12013126312811412,0.7933650083947781
69,148,0.5909292271536922,0.6148648648648649,-0.572191722061524,0.5321625104880557
70,212,0.5577815984123798,0.5801886792452831,-0.5080778724648756,0.4398630398833526
71,174,-0.5889441683709303,0.5862068965517241,-0.7871733785034158,-0.44704344458814144
72,154,0.8361596107038105,0.6168831168831169,-0.3409115576608445,0.683172632808236
73,376,0.6213690568747942,0.5957446808510638,-0.2676560213577018,0.6400059802755701
74,380,0.21033909767701695,0.5552631578947368,-0.45765211831445124,0.21125693291265388
75,347,-0.16580582170965094,0.5590778097982709,-0.2627687726469506,-0.2222784972396516
76,71,-0.8540077973217656,0.5352112676056338,-0.9434026980698352,-0.7263018919872807
77,131,0.5236799365602975,0.6641221374045801,-0.2809471722269056,0.5564220043021373
78,427,-0.14963249417348376,0.5761124121779859,-0.30457508260273136,-0.18781762760529527
79,183,-0.10532528171901356,0.6010928961748634,-0.618816058347003,-0.10743026014768337
80,355,-0.14201793378883198,0.5211267605633803,-0.43466598136462087,-0.13577468808455423
81,313,0.8023852122810896,0.6038338658146964,-0.11557070168491516,1.1152750911479765
82,236,0.24518626734105708,0.6059322033898306,-0.3867919926774184,0.1901429489901326
83,117,-0.09126062391030837,0.6324786324786325,-0.335518965027725,-0.09732717994215469
84,208,0.36571728901782397,0.5913461538461539,-0.28185477964891154,0.39604280434468253
85,401,0.11706954465466544,0.5486284289276808,-0.292195376067725,0.13879024075530735
86,235,0.01116921162988569,0.5659574468085107,-0.3294903074078283,0.011215209895843735
87,366,-0.0702296029134407,0.5191256830601093,-0.550731900412526,-0.06825971695171927
88,308,0.4529677916912976,0.6006493506493507,-0.47208348749763335,0.4564075756010857
89,147,0.601905208852125,0.6326530612244898,-0.24160012376575848,0.5396678884971324
90,305,1.5242865223721125,0.580327868852459,-0.23068710804034012,1.1646925516734097
91,201,0.3384527404171539,0.5771144278606966,-0.49791225108164494,0.34938910191090905
92,347,-0.9681332038373454,0.5446685878962536,-1.0904215389995813,-0.8447868446476452
93,382,-0.15258041367073738,0.5261780104712042,-0.395219202802295,-0.14605744966616285
